Category,QuestionNumber,ExamRecord,Question,A,B,C,D,E,Answer,Explanation
纖維肌痛與肌筋膜疼痛,16,113年第35題,"關於纖維肌痛症(fibromylagia)的敘述，下列哪些正確？\n(1) 纖維肌痛症發生率以男性較高\n(2) 纖維肌痛症的患者中壓痛點通常女性較男性多\n(3) 纖維肌痛症常常是許多其他慢性疼痛的共病(comorbidity)\n(4) 因病人疼痛點多發且難治，應盡量讓病人多休息並限制運動\n(5) 較常見的藥物治療包含 gabapentinoids, tricyclic anti-depressants, selective norepinephrine reuptake inhibitor 或 opioid 等等","1, 2, 4","1, 4, 5","1, 3, 5","2, 3, 5","2, 4, 5",D,"選項D包含敘述2, 3, 5，這三個敘述都是正確的，因此是正確答案。敘述2正確：女性纖維肌痛症患者通常比男性有更多的壓痛點，且疼痛敏感性更高；敘述3正確：纖維肌痛症經常與其他慢性疼痛疾病共存，如慢性疲勞症候群、腸躁症、偏頭痛等，這種共病現象反映了中樞敏感化的病理機制；敘述5正確：所列藥物都是纖維肌痛症的標準治療選項，包括gabapentinoids用於神經性疼痛、抗憂鬱劑用於疼痛和情緒調節。這些藥物通過不同機制作用於中樞神經系統，有助於改善疼痛和相關症狀。"
纖維肌痛與肌筋膜疼痛,17,113年第37題,關於纖維肌痛症(fibromylagia)的臨床診斷，何者有誤？,診斷要件中包括兩大類：widespread pain index(WPI)以及 symptoms severity score(SSS),症狀需持續三個月以上,疼痛發生的區域分為左/右側上肢、左/右側下肢以及中軸軀幹等五區，須至少有四區以上疼痛才可診斷為 fibromylagia,Symptom severity score 中須確認病人是否有疲倦、睡不飽、認知功能障礙、頭痛、下腹絞痛或憂鬱等問題。,纖維肌痛症的診斷確定後可確認病人沒有其他疼痛原因,E,**錯誤** - FM診斷不能排除其他疼痛原因的存在，這是因為纖維肌痛症可能與其他疾病共存。
纖維肌痛與肌筋膜疼痛,18,114年第15題,"關於肌筋膜疼痛(Myofascial pain syndrome, MPS)的敘述，何者正確？",臨床上病人如有反覆發生同一部位 MPS 的狀況，也有可能是更深部結構病變引起的 referred pain,除了局部肌筋膜的問題以外，肌筋膜疼痛還牽涉到 peripheral sensitization，但與 central sensitization 較無關聯,脈衝式高頻熱凝治療是治療肌筋膜疼痛的首選工具,肌筋膜疼痛的診斷是透過超音波影像觀察肌筋膜的形態學變化來確認,最新臨床實證已發現 Trigger point injection 效果及穩定度不佳，目前已不建議使用,A,**正確** - 反覆MPS可能是深部結構病變的轉移痛，這需要考慮其他潛在的病因。
纖維肌痛與肌筋膜疼痛,19,114年第39題,"下列有關 fibromyalgia (FM, 纖維肌痛症)之敘述，何者較不正確?",女性比男性發生率高且更痛,病人常有 somatic 疼痛問題，如慢性頭痛、下背痛及顳顎關節痛,有 FM 的病人，伴隨有 anxiety 的比率可高達近 5 成,有 FM 病人其 cerebrospinal fluid (CSF)進行分析，顯示內生性嗎啡量減少,FM 病人對疼痛之敏感性較高，可能和特定基因有關,D,**錯誤** - FM患者CSF中內生性嗎啡量的變化並非典型發現，疼痛的主要機制是中樞敏感化。
纖維肌痛與肌筋膜疼痛,20,114年第40題,"下列有關 fibromyalgia (FM, 纖維肌痛症) 之治療藥物中，何者較不適當(證據力等級較低) ?","Tricyclic compounds, 如 Amitriptyline","SNRIs, 如 Duloxetine","Gabapentinoids, 如 Gabapentin, Pregabalin","SSRIs, 如 Fluoxetine, sertraline","Opioids, 如 Morphine, Oxycodone",E,**正確** - 鴉片類藥物證據力最低，不建議用於FM治療，因為它們無法有效處理中樞敏化的病理機制。
纖維肌痛與肌筋膜疼痛,21,114年第43題,在癌症病人若伴隨有 Myofascial Pain，或是 Fibromyalgia 病人確切進行檢查病人是否有 muscle tenderness-tender point，請問學理上來說要在病人身上的檢查部位施予多少 kg per square centimeter?,1,2,3,4,5,D,**正確** - 4 kg/cm²是ACR建議的標準壓力，能夠有效引發纖維肌痛症患者的疼痛反應，從而進行準確的診斷。
頭痛,1,"103年第3題, 105年第2題, 106年第1次第17題, 107年第1次第11題, 107年第3次第11題, 108年第1次第48題, 108年第2次第48題",Which following item is not a criterion for the diagnosis of migraine?,Aggravation by or causing avoidance of routine physical activity,Unilateral location,Moderate or severe pain intensity,Throbbing/stabbing quality,All are criteria for diagnosis of migraine,D,**錯誤** - 刺戳性疼痛不符合偏頭痛的診斷標準，這類疼痛更常見於其他頭痛類型如叢集性頭痛。
頭痛,2,"103年第47題, 104年第48題",Which statement about Trigeminal autonomic cephalgias (TAC) is wrong?,Oxygen inhalation is a safe and effective method for acute treatment of cluster headache,Midbrain and pontine activation play a pivotal role in either initiation or termination of the acute attack of migraine,"The forehead, temporal, orbit and occiput are the most frequent sites of hemicrania continua",Paroxysmal hemicrania responds in a dramatic and absolute fashion to indometacin,Short-lasting unilateral neuralgiform headache with conjunctival injection and tearing (SUNCT) syndrome is usually maximal in the ophthalmic distribution of trigeminal nerve,C,**錯誤/正確** - hemicrania continua主要影響前額、顳部、眼眶，枕部較少見，這是因為該病症的疼痛分布與三叉神經的支配區域一致。
頭痛,3,103年第48題,"Tension-type headache (TTH) is an ill-defined and heterogeneous syndrome. Hence, its managements are associated multiple models. Which statement is wrong?",Combination of analgesic with muscle relaxants is the most effective therapy with scientific evidence,Ibuprofen can be considered the first choice for TTH,Tricyclic antidepressants are the most widely used first-line therapeutic and prophylactic agents,Relaxation and EMG biofeedback therapies have been proven to treat TTH,The adjunction of caffeine significantly increases the efficacy of ibuprofen only,A,**錯誤** - 雖然止痛藥和肌肉鬆弛劑的組合可能有助於緩解症狀，但缺乏強有力的科學證據支持其為最有效的治療。
頭痛,4,104年第8題,Which of the following drug is not suggested to be prescribed to prevent migraine?,beta blocker,anticonvulsant such as gabapentin,tricyclic antidepressant such as amitriptyline,"SSRI (Selective serotonin re-uptake inhibitors), such as Fluoxetine (prozac)",all of the above can be prescribed as preventive medications,D,**錯誤** - SSRI對偏頭痛的預防效果不佳，這可能是因為其作用機制與偏頭痛的病理機制不完全匹配。
頭痛,5,"104年第22題, 105年第50題",What is the following description about tension-type headache is FALSE?,may be associated with stress,associated with vomiting,bilateral,most common in adolescence,"pain may involve teeth, forehead & neck",D,**錯誤** - 緊張型頭痛在成年期更常見，這可能與生活壓力和姿勢有關。
頭痛,6,104年第27題,Which of the drugs below is the most useful prophylactic drugs for chronic tension type headache (CTTH) in clinical practice?,beta blocker,anticonvulsant such as gabapentin,tricyclic antidepressant such as amitriptyline,"SSRI (Selective serotonin re-uptake inhibitors), such as Fluoxetine (prozac)",weak opioids such as tramadol,C,**正確** - 三環抗憂鬱劑是慢性緊張型頭痛預防的第一線用藥，因其能有效調節神經遞質。
頭痛,7,104年第30題,"From the viewpoint of clinical manifestations, structures responsible for generating pain in the nociceptive process from within the head does not include:",large intracranial vessels and dura mater,peripheral terminals of the trigeminal nerve innervating these structures,cortex of brain,central terminals and second-order neurons of the trigeminal nucleus,all of the above are responsible in perception of nociceptive pain within the head,C,**錯誤** - 大腦皮質不含痛覺感受器，因此不直接參與疼痛的產生。
頭痛,8,104年第31題,"Differentiation between cluster headache and other trigeminal autonomic cephalalgias such as paroxysmal hemicranias, SUNCT syndrome and hemicrania continua includes:",less severe pain,less frequent pain attacks,effective prophylactic treatment by methysergide and prednisolone,no autonomic features,with migrainous features,C,此選項正確。叢發性頭痛對methysergide和prednisolone的良好預防效果是與其他三叉神經自主性頭痛鑑別的重要特徵。Methysergide是血清素受體拮抗劑，對叢發性頭痛的預防效果顯著，有效率可達70-80%，但因副作用考量現已較少使用。Prednisolone等皮質類固醇在叢發性頭痛急性期和預防治療都有效，特別是在叢發期開始時使用，可快速緩解症狀並縮短叢發期。相對地，其他TACs對這些藥物反應不佳：陣發性偏側頭痛和持續性偏側頭痛對indomethacin有絕對性反應（100%有效），這是診斷的必要條件；SUNCT症候群則對抗癲癇藥物如lamotrigine、topiramate或gabapentin反應較好。因此，特定藥物的治療反應是區分叢發性頭痛最可靠的鑑別診斷依據。
頭痛,9,104年第33題,Which of the description below is not included in the simple diagnostic criteria for migraine?,unilateral pain,numbness,throbbing pain,nausea/vomiting,photophobia and phonophobia,B,麻木感(numbness)並不包含在偏頭痛的簡單診斷標準中，這是正確答案。麻木感屬於感覺異常症狀，可能出現在偏頭痛前兆(migraine with aura)中，但前兆症狀並非所有偏頭痛患者都會經歷，且不是核心診斷標準。偏頭痛的簡單診斷標準主要聚焦於疼痛特徵(單側性、搏動性、中重度強度)和特定伴隨症狀(噁心嘔吐、畏光畏聲)。麻木感更常見於神經系統其他疾病或三叉神經痛等疾病中。
頭痛,10,105年第7題,Which is NOT true regarding tension-type headache?,may be associated with stress,pulsating,bilateral,none of the above,,B,緊張性頭痛的特徵是非搏動性、壓迫性或緊縮性疼痛，而非搏動性疼痛。緊張性頭痛通常呈現雙側分佈，疼痛性質如同頭部被緊箍圈緊壓的感覺。這種頭痛確實與壓力、焦慮和肌肉緊張有密切關係。搏動性疼痛是偏頭痛的典型特徵，與緊張性頭痛的疼痛性質明顯不同。
頭痛,11,105年第12題,目前對 Chronic tension-type headache (CTTH) 的認識，下列何者不正確？,發作時，在腦血流中有明顯的 CGRP 增加,與 myofascial pain 有關，可以用注射 botulinum 治療,以 Beck's depression scale 評分，可以發現頭痛頻率與 depression 程度有關,以 pressure-pain threshold 測量，可以發現疼痛閾值改變不大,TCA (Tricyclic antidepressant) 可以當第一線用藥,A,這是正確答案。CTTH發作時腦血流中不會有明顯的CGRP增加，這是與偏頭痛的重要區別點。CGRP主要在偏頭痛發作時大量釋放，參與血管擴張和神經炎症反應。CTTH屬於非血管性頭痛，其病理機制主要涉及肌肉緊張、中樞敏感化和心理因素，而非血管性變化，因此不會導致CGRP的顯著增加。這個生化標記的差異有助於區分CTTH與偏頭痛的不同病理機制。
頭痛,12,105年第34題,Which is NOT true regarding cluster headache?,"ipsilateral ptosis, miosis, or nasal congestion might occur",with or without aura,usually unilateral,none of the above,,B,叢集性頭痛不會出現預兆（aura），這是區別於偏頭痛的重要特徵之一。偏頭痛可能伴隨視覺、感覺或語言方面的預兆症狀，但叢集性頭痛的發作是突然且劇烈的，沒有前驅的神經學症狀。叢集性頭痛的診斷標準中明確排除了預兆的存在。因此「伴隨或不伴隨預兆」的敘述對叢集性頭痛而言是不正確的。
頭痛,13,"107年第1次第41題, 107年第3次第41題",關於叢發性頭痛(cluster headache)之描述，下列何者有誤：,位於眼眶、上眼眶及/或顳部重度疼痛，好發於雙側，如不治療可持續 15 至 180 分鐘。,男性較容易發生叢發性頭痛,發作頻率為每二日一次至每日八次,會伴隨至少一項自主神經症狀，如結膜充血、流淚、鼻腔充血、流鼻水、瞳孔縮小及眼皮下垂等。,若兩次叢發期間隔 1 個月以上的緩解期，則稱作「陣發叢發性頭痛（episodic cluster headache）」。,A,此選項錯誤，為本題正確答案。叢發性頭痛最重要的特徵就是疼痛的單側性(unilateral)，幾乎100%為單側發作，很少出現雙側疼痛。疼痛通常固定在同一側，位於眼眶周圍、上眼眶或顳部區域。疼痛性質極度劇烈，常被形容為「眼球被挖出」或「熱鐵棒插入眼部」的感覺。持續時間確實為15-180分鐘，但絕對不是雙側疼痛。單側性是叢發性頭痛診斷的必要條件之一。
